10.10.120.139, 2017-03-26 14:11:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
10.10.120.139, 2017-03-26 14:11:39, POST, /admin/default/index, HTTP/1.1, 303, 0.047000
10.10.120.139, 2017-03-26 14:11:39, GET, /admin/default/site, HTTP/1.1, 200, 0.062000
10.10.120.139, 2017-03-26 14:11:39, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:39, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:40, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:40, POST, /admin/default/check_version, HTTP/1.1, 200, 0.766000
10.10.120.139, 2017-03-26 14:11:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
10.10.120.139, 2017-03-26 14:11:41, GET, /UGC/default/index, HTTP/1.1, 200, 0.110000
10.10.120.139, 2017-03-26 14:11:41, GET, /UGC/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:41, GET, /UGC/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:41, GET, /UGC/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:41, GET, /UGC/static/js/jquery.js, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:41, GET, /UGC/static/css/calendar.css, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:41, GET, /UGC/static/js/calendar.js, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:41, GET, /UGC/static/js/web2py.js, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:41, GET, /UGC/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:41, GET, /UGC/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000000
